0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,414222.98,9.787383490773488
1.0,0.0,0.0,0.0,0.0,0.0,1.0,136.0,848408.53,8.916239284147075
1.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,299438.28,8.870248997161214
1.0,0.0,0.0,0.0,0.0,0.0,1.0,187.0,848408.53,8.103279090296505
1.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,464129.36,10.725339640428764
1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,294447.66,10.326335443997996
1.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,314410.19,10.653423343937348
1.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,419213.6,8.96931990572898
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,349344.66,7.098223525978598
1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,449157.45,7.098223525978598
1.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,548970.21,8.918391565493236
1.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,369307.22,7.101528905654509
1.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,998127.67,10.400531604946721
1.0,0.0,0.0,0.0,0.0,0.0,1.0,170.0,848408.53,8.901236981387616
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,419213.6,7.790709332027382
1.0,0.0,0.0,0.0,0.0,0.0,1.0,64.0,339363.39,10.59334141307751
1.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,369307.22,8.187551777050928
1.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,359325.95,8.870248997161214
1.0,0.0,0.0,0.0,0.0,0.0,1.0,83.0,389269.77,9.447089118483085
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,399251.07,9.18673580178078
1.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,329382.13,7.098223525978598
1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,399251.07,7.098223525978598
1.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,479101.27,10.179029322394976
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,289457.01,7.407008271679921
1.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,379288.51,8.164202722583317
1.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,568932.77,10.660712037868054
1.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,349344.66,8.825417951347722
1.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,394260.42,10.310186790986345
1.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,379288.51,8.379235757331443
1.0,0.0,0.0,0.0,0.0,0.0,1.0,183.0,1522144.71,6.958931169253364
1.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,598876.59,8.970554995803438
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,1427322.56,6.807388968766403
1.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,908296.17,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,628820.41,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,958202.55,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,130.0,778539.59,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,718651.91,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,128.0,938240.02,6.929408512866344
1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,369307.22,2.1913198696785736
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,444166.8,4.323003995623158
1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,309419.57,5.657317327709297
1.0,0.0,0.0,0.0,0.0,0.0,1.0,182.0,1497191.5,1.2960038928226998
1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,389269.77,2.1913198696785736
1.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,873361.7,2.276718431890693
1.0,0.0,0.0,0.0,0.0,0.0,1.0,113.0,918277.46,1.7810624492342952
1.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,798502.15,1.9524077823440964
1.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,828445.97,3.946519438745896
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,798502.15,2.3985567700544133
1.0,0.0,0.0,0.0,0.0,0.0,1.0,180.0,798502.15,2.3985567700544133
1.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,1497191.5,5.278431060196198
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,948221.29,5.308314709341332
1.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,1247659.6,1.6820494779713313
1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,239550.63,3.426817345665984
1.0,0.0,0.0,0.0,0.0,0.0,1.0,240.0,998127.67,8.870749303542109
1.0,0.0,0.0,0.0,0.0,0.0,1.0,155.0,988146.4,3.7619798949613763
1.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,638801.71,3.381606795989785
1.0,0.0,0.0,0.0,0.0,0.0,1.0,238.0,1048034.05,4.321783568845381
1.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0,598876.59,1.9524077823440964
1.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,379288.51,4.241695135102348
1.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,429194.89,2.460900192819492
1.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,449157.45,2.460900192819492
